statistic,auc,cohen_d,target_mean,masker_mean
kurtosis,0.22375345589997508,-0.5759937232248444,0.07005443526746633,2.521303668587119
skew,0.24927198840018525,-0.8515508086364569,0.8229543271128208,1.3446322393433832
p95-p5,0.5643123000538324,0.24410507014073318,2.9006496348141573,2.8339094921486487
silence frac,0.47915765587251063,-0.027998704208593895,0.4220468945556946,0.4237438073633709
rel. power 0.5-4 Hz,0.5113384795241027,0.04457142500395046,0.5941758202260665,0.5906135165522285
rel. power 4-8 Hz,0.4450583828450561,-0.21015270135140474,0.19582268517739485,0.20831726538409814
rel. power 8-20 Hz,0.42247280836548395,-0.30803940162806615,0.07899492191959719,0.08895910985885956
Gini sparsity,0.33986448956063664,-0.5750999568421803,0.3362089432974062,0.36205496889925737
envelope crest (dB),,-1.2151721715927124,9.754055976867676,12.413914680480957
