construction,K,audio_only_probe,chance,excess,window_sec,n_windows
raw,4,0.5580725907384231,0.25,0.3080725907384231,10.0,7990
qmatch,4,0.26032540675844806,0.25,0.010325406758448064,10.0,7990
shifted,3,0.3758448060075094,0.3333333333333333,0.0425114726741761,10.0,7990
shifted_qm,3,0.35644555694618274,0.3333333333333333,0.023112223612849425,10.0,7990
shifted,2,0.5131414267834794,0.5,0.013141426783479404,10.0,7990
shifted_qm,2,0.5133917396745933,0.5,0.013391739674593284,10.0,7990
