corpus,n_windows,n_listeners,n_content,window_sec,K,chance,probe_raw,excess_raw,probe_qmatch,excess_qmatch
kul,12614,16,8,2.0,2,0.5,0.5944981766291422,0.09449817662914217,0.5321071824956398,0.03210718249563982
dtu,43200,18,7,2.0,2,0.5,0.5010416666666667,0.0010416666666667185,0.5016435185185185,0.0016435185185185164
nju,23634,21,245,2.0,2,0.5,0.5037234492680037,0.00372344926800372,0.5012270457815012,0.0012270457815012348
