protocol,task,mode,metric,chance,test_subject,fold,value,best_val
gh_pooled,hemisphere,eeg_imu,acc,0.5,0,0.0,0.6625,0.6625
gh_pooled,hemisphere,eeg_imu,acc,0.5,1,1.0,0.625,0.625
gh_pooled,hemisphere,eeg_imu,acc,0.5,2,2.0,0.65625,0.65625
gh_pooled,hemisphere,eeg_imu,acc,0.5,3,3.0,0.684375,0.684375
gh_pooled,hemisphere,eeg_imu,acc,0.5,4,4.0,0.6269592476489029,0.6269592476489029
gh_pooled,hemisphere,gaze_imu,acc,0.5,0,0.0,0.59375,0.59375
gh_pooled,hemisphere,gaze_imu,acc,0.5,1,1.0,0.609375,0.609375
gh_pooled,hemisphere,gaze_imu,acc,0.5,2,2.0,0.625,0.625
gh_pooled,hemisphere,gaze_imu,acc,0.5,3,3.0,0.621875,0.621875
gh_pooled,hemisphere,gaze_imu,acc,0.5,4,4.0,0.5924764890282131,0.5924764890282131
gh_pooled,hemisphere,eeg_gaze_imu,acc,0.5,0,0.0,0.6625,0.6625
gh_pooled,hemisphere,eeg_gaze_imu,acc,0.5,1,1.0,0.625,0.625
gh_pooled,hemisphere,eeg_gaze_imu,acc,0.5,2,2.0,0.625,0.625
gh_pooled,hemisphere,eeg_gaze_imu,acc,0.5,3,3.0,0.684375,0.684375
gh_pooled,hemisphere,eeg_gaze_imu,acc,0.5,4,4.0,0.6269592476489029,0.6269592476489029
gh_pooled,speaker4,eeg_gaze,acc,0.25,0,0.0,0.515625,0.515625
gh_pooled,speaker4,eeg_gaze,acc,0.25,1,1.0,0.484375,0.484375
gh_pooled,speaker4,eeg_gaze,acc,0.25,2,2.0,0.5,0.5
gh_pooled,speaker4,eeg_gaze,acc,0.25,3,3.0,0.478125,0.478125
gh_pooled,speaker4,eeg_gaze,acc,0.25,4,4.0,0.47648902821316613,0.47648902821316613
gh_pooled,speaker4,eeg_imu,acc,0.25,0,0.0,0.51875,0.51875
gh_pooled,speaker4,eeg_imu,acc,0.25,1,1.0,0.490625,0.490625
gh_pooled,speaker4,eeg_imu,acc,0.25,2,2.0,0.4875,0.4875
