protocol,task,mode,metric,mean,std,ci_lo,ci_hi,n_subjects,chance
loso,speaker4,imu,acc,0.35728093434343433,0.008814274634783566,0.3529684343434344,0.36153172348484847,16,0.25
within,speaker4,eeg,acc,0.2614338235294118,0.011532930604221949,0.2561994485294118,0.26702240349264705,16,0.25
within,speaker4,eeg_gaze,acc,0.2721001838235294,0.009670549293964891,0.2674856387867647,0.27664131433823524,16,0.25
within,speaker4,eeg_gaze_imu,acc,0.2788556985294118,0.008644318572707239,0.2748021599264706,0.28327722886029416,16,0.25
within,speaker4,eeg_imu,acc,0.27375000000000005,0.007126665409684375,0.27017003676470586,0.2773669577205883,16,0.25
within,speaker4,gaze,acc,0.2481158088235294,0.006246207489054739,0.2450675551470588,0.25115843290441175,16,0.25
within,speaker4,gaze_imu,acc,0.27745863970588236,0.00798242829009571,0.27350172334558825,0.2814067095588235,16,0.25
within,speaker4,imu,acc,0.2817830882352941,0.007301497430493872,0.27831341911764707,0.2853455882352941,16,0.25
gh_pooled,reconstruction,eeg,pearson_r,0.004973288299515844,0.0009389613831356725,0.004264266203390434,0.005827865656465292,5,0.0
gh_pooled,reconstruction,eeg_gaze,pearson_r,0.00635280916467309,0.0015316617544426177,0.0049968001432716845,0.007644288903102269,5,0.0
gh_pooled,reconstruction,eeg_gaze_imu,pearson_r,0.0073839290998876095,0.002475084021937226,0.005343782901763916,0.009563721157610417,5,0.0
gh_pooled,reconstruction,eeg_imu,pearson_r,0.006389167346060276,0.0035411764335151006,0.0034590709023177625,0.0094992789439857,5,0.0
gh_pooled,reconstruction,gaze,pearson_r,0.0,0.0,0.0,0.0,5,0.0
gh_pooled,reconstruction,gaze_imu,pearson_r,0.0031348875258117915,0.0029724008340249524,0.000510560953989625,0.005759214097633958,5,0.0
gh_pooled,reconstruction,imu,pearson_r,0.0015702154603786766,0.0018047803336459505,0.00014380827778950333,0.0033144683111459017,5,0.0
loso,reconstruction,eeg,pearson_r,0.006156110974188778,0.006628869896106483,0.0030715689967564684,0.009600499534599287,16,0.0
loso,reconstruction,eeg_gaze,pearson_r,0.006184571262565441,0.005662156352122458,0.0034780922542267945,0.008951007135328834,16,0.0
loso,reconstruction,eeg_gaze_imu,pearson_r,0.0039037230380927213,0.004773377141565288,0.001620361936511472,0.006251437215178157,16,0.0
loso,reconstruction,eeg_imu,pearson_r,0.004330320167355239,0.005380832162587561,0.0018610263206937816,0.00713457711062801,16,0.0
loso,reconstruction,gaze,pearson_r,0.0,0.0,0.0,0.0,16,0.0
loso,reconstruction,gaze_imu,pearson_r,-0.0007377232541330159,0.002857189877367112,-0.0022131697623990476,0.0,16,0.0
loso,reconstruction,imu,pearson_r,-0.00036099334829486907,0.0013981212260376814,-0.0010829800448846072,0.0,16,0.0
within,reconstruction,eeg,pearson_r,0.00365307246638622,0.005842448723167028,0.0008046246173148576,0.006437779753086941,16,0.0
within,reconstruction,eeg_gaze,pearson_r,0.0030093469176790677,0.0062748278376170375,0.00013606879449071132,0.006201973528986853,16,0.0
within,reconstruction,eeg_gaze_imu,pearson_r,0.003568700682990311,0.005701944701954998,0.0009591453680286577,0.006315912533573281,16,0.0
within,reconstruction,eeg_imu,pearson_r,0.004883668954335008,0.00598078910512593,0.0020215355024993187,0.007972518029537242,16,0.0
within,reconstruction,gaze,pearson_r,-0.0027358244595234284,0.00992904186165421,-0.007461243087436743,0.0019928645494746828,16,0.0
within,reconstruction,gaze_imu,pearson_r,0.0014270819444845981,0.009060203410881127,-0.0028446712237962402,0.0058797525278225715,16,0.0
within,reconstruction,imu,pearson_r,-0.0010431095070089214,0.007519521678595039,-0.004746094582769729,0.0025818564299697716,16,0.0
