corpus,n_windows,n_listeners,n_content,window_sec,K,chance,probe_raw,excess_raw,probe_qmatch,excess_qmatch
kul,9564,16,8,10.0,2,0.5,0.6946884148891677,0.19468841488916766,0.5974487662066081,0.09744876620660814
dtu,9720,18,7,10.0,2,0.5,0.5008230452674897,0.0008230452674896638,0.5024691358024691,0.0024691358024691024
nju,8733,21,245,10.0,2,0.5,0.4994847131569907,-0.0005152868430092772,0.5025764342150464,0.002576434215046386
